sequenceNumber,date,moneyAccount,accountType,amount,counterparty,label,costCenter,source
615,2025-09-10,Coffre,CHARGES,400.00,BLV,Manque à gagner constaté au coffre,INTERNE,historique caisse partiel.txt
616,2025-10-31,Coffre,PRODUITS,186.25,BLV,Équilibrage après comptage du coffre,INTERNE,écart du comptage du 2025-11-09
617,2025-11-29,Coffre,CHARGES,1390.00,BLV,MDN 29.11 : fonds de caisse sorti,MDN,Compta_MDN_2025.xlsx · FDC
618,2025-11-29,Coffre,PRODUITS,1954.00,BLV,"MDN 29.11 : caisse comptée, rentrée au coffre",MDN,Compta_MDN_2025.xlsx · FDC
619,2025-11-30,Coffre,CHARGES,1114.00,BLV,MDN 30.11 : fonds de caisse sorti,MDN,Compta_MDN_2025.xlsx · FDC
620,2025-11-30,Coffre,PRODUITS,1242.00,BLV,"MDN 30.11 : caisse comptée, rentrée au coffre",MDN,Compta_MDN_2025.xlsx · FDC
621,2025-11-30,Coffre,CHARGES,258.57,BLV,Équilibrage après comptage du coffre,INTERNE,écart du comptage du 2025-12-08
622,2025-12-01,Coffre,CHARGES,1002.00,BLV,MDN 01.12 : fonds de caisse sorti,MDN,Compta_MDN_2025.xlsx · FDC
623,2025-12-01,Coffre,PRODUITS,1122.00,BLV,"MDN 01.12 : caisse comptée, rentrée au coffre",MDN,Compta_MDN_2025.xlsx · FDC
624,2025-12-02,Coffre,CHARGES,962.00,BLV,MDN 02.12 : fonds de caisse sorti,MDN,Compta_MDN_2025.xlsx · FDC
625,2025-12-02,Coffre,PRODUITS,1033.60,BLV,"MDN 02.12 : caisse comptée, rentrée au coffre",MDN,Compta_MDN_2025.xlsx · FDC
626,2025-12-03,Coffre,CHARGES,953.60,BLV,MDN 03.12 : fonds de caisse sorti,MDN,Compta_MDN_2025.xlsx · FDC
627,2025-12-03,Coffre,PRODUITS,942.80,BLV,"MDN 03.12 : caisse comptée, rentrée au coffre",MDN,Compta_MDN_2025.xlsx · FDC
628,2025-12-04,Coffre,CHARGES,822.80,BLV,MDN 04.12 : fonds de caisse sorti,MDN,Compta_MDN_2025.xlsx · FDC
629,2025-12-04,Coffre,PRODUITS,882.80,BLV,"MDN 04.12 : caisse comptée, rentrée au coffre",MDN,Compta_MDN_2025.xlsx · FDC
630,2025-12-05,Coffre,CHARGES,1002.80,BLV,MDN 05.12 : fonds de caisse sorti,MDN,Compta_MDN_2025.xlsx · FDC
631,2025-12-05,Coffre,PRODUITS,1660.35,BLV,"MDN 05.12 : caisse comptée, rentrée au coffre",MDN,Compta_MDN_2025.xlsx · FDC
632,2025-12-06,Coffre,CHARGES,1042.35,BLV,MDN 06.12 : fonds de caisse sorti,MDN,Compta_MDN_2025.xlsx · FDC
633,2025-12-06,Coffre,PRODUITS,1356.75,BLV,"MDN 06.12 : caisse comptée, rentrée au coffre",MDN,Compta_MDN_2025.xlsx · FDC
634,2025-12-07,Coffre,CHARGES,956.75,BLV,MDN 07.12 : fonds de caisse sorti,MDN,Compta_MDN_2025.xlsx · FDC
635,2025-12-07,Coffre,PRODUITS,1037.80,BLV,"MDN 07.12 : caisse comptée, rentrée au coffre",MDN,Compta_MDN_2025.xlsx · FDC
636,2025-12-15,Coffre,CHARGES,192.50,BLV,SVC Chéseaux 15.12 : fonds de caisse sorti,SVC,Compta_SVC_2025.xlsx · FDC CHESEAUX
637,2025-12-15,Coffre,PRODUITS,289.50,BLV,"SVC Chéseaux 15.12 : caisse comptée, rentrée au coffre",SVC,Compta_SVC_2025.xlsx · FDC CHESEAUX
638,2025-12-15,Coffre,CHARGES,190.00,BLV,SVC St-Roch 15.12 : fonds de caisse sorti,SVC,Compta_SVC_2025.xlsx · FDC ST ROCH
639,2025-12-15,Coffre,PRODUITS,254.00,BLV,"SVC St-Roch 15.12 : caisse comptée, rentrée au coffre",SVC,Compta_SVC_2025.xlsx · FDC ST ROCH
640,2025-12-16,Coffre,CHARGES,289.50,BLV,SVC Chéseaux 16.12 : fonds de caisse sorti,SVC,Compta_SVC_2025.xlsx · FDC CHESEAUX
641,2025-12-16,Coffre,PRODUITS,443.50,BLV,"SVC Chéseaux 16.12 : caisse comptée, rentrée au coffre",SVC,Compta_SVC_2025.xlsx · FDC CHESEAUX
642,2025-12-16,Coffre,CHARGES,254.00,BLV,SVC St-Roch 16.12 : fonds de caisse sorti,SVC,Compta_SVC_2025.xlsx · FDC ST ROCH
643,2025-12-16,Coffre,PRODUITS,306.00,BLV,"SVC St-Roch 16.12 : caisse comptée, rentrée au coffre",SVC,Compta_SVC_2025.xlsx · FDC ST ROCH
644,2025-12-17,Coffre,CHARGES,443.50,BLV,SVC Chéseaux 17.12 : fonds de caisse sorti,SVC,Compta_SVC_2025.xlsx · FDC CHESEAUX
645,2025-12-17,Coffre,PRODUITS,744.50,BLV,"SVC Chéseaux 17.12 : caisse comptée, rentrée au coffre",SVC,Compta_SVC_2025.xlsx · FDC CHESEAUX
646,2025-12-17,Coffre,CHARGES,306.00,BLV,SVC St-Roch 17.12 : fonds de caisse sorti,SVC,Compta_SVC_2025.xlsx · FDC ST ROCH
647,2025-12-17,Coffre,PRODUITS,340.20,BLV,"SVC St-Roch 17.12 : caisse comptée, rentrée au coffre",SVC,Compta_SVC_2025.xlsx · FDC ST ROCH
